statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;;Insgesamt;GES;Geschlecht;GESM;männlich;36139;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRVET;Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;GES;Geschlecht;GESM;männlich;796;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-INGW;Ingenieurwissenschaften;GES;Geschlecht;GESM;männlich;10829;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-RWSW;Rechts-, Wirtschafts- und Sozialwissenschaften;GES;Geschlecht;GESW;weiblich;5427;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-NATW;Mathematik, Naturwissenschaften;GES;Geschlecht;GESW;weiblich;1239;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-NATW;Mathematik, Naturwissenschaften;GES;Geschlecht;GESW;weiblich;1459;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDVET;Veterinärmedizin;GES;Geschlecht;GESM;männlich;-;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-RWSW;Rechts-, Wirtschafts- und Sozialwissenschaften;GES;Geschlecht;GESW;weiblich;4972;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;;Insgesamt;GES;Geschlecht;GESW;weiblich;14934;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-NATW;Mathematik, Naturwissenschaften;GES;Geschlecht;GESW;weiblich;1575;Anzahl;BIL050;Professoren
