statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;5_variable_code;5_variable_label;5_variable_attribute_code;5_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF008;Anglistik/Englisch;1466;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF054;Film und Fernsehen;203;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF013;Architektur;2828;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF277;Wirtschaftsinformatik;482;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF023;Bildende Kunst/Grafik;260;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF080;Instrumentalmusik;556;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF457;Umwelttechnik (einschließlich Recycling);599;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF049;Interdisz. Studien (Schwerp. Naturwissenschaften);548;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF150;Spanisch;170;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF300;Biomedizin;-;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF284;Angewandte Sprachwissenschaft;30;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF159;Edelstein- und Schmuckdesign;1;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF061;Meliorationswesen;1;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF069;Grafikdesign/Kommunikationsgestaltung;4;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF128;Physik;4906;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF037;Archiv- und Dokumentationswissenschaft;8;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF131;Portugiesisch;2;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF068;Geschichte;156;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF073;Judaistik/Hebräisch;11;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF215;Gesundheitstechnik;818;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF263;Polizei/Verfassungsschutz;2547;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF253;Sozialwesen;5;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF247;Medizinische Informatik;2;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF196;Studienkolleg;-;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF091;Kunsterziehung;182;Anzahl;BIL017;Prüfungen
