,year,nationality,gender,subj_code,subj_name,number
243,2018,NATA,GESW,SF131,Portugiesisch,28
244,2022,NATA,GESM,SF006,Amerikanistik/Amerikakunde,423
245,2021,NATD,GESM,SF286,Mikrosystemtechnik,980
246,2020,NATA,GESW,SF180,Kaukasistik,2
247,2021,NATA,GESW,SF227,Weinbau und Kellerwirtschaft,115
248,2023,NATA,GESM,SF183,Wirtschafts-/Sozialgeschichte,17
249,2022,NATD,GESW,SF361,Schulpädagogik,305
250,2018,NATD,GESW,SF182,Internationale Betriebswirtschaft/Management,22544
251,2019,NATD,GESM,SF081,Iranistik,87
252,2019,NATA,GESW,SF022,Informations-/Bibliothekswiss. (nicht f. Verw.-FH),165
253,2020,NATD,GESM,SF097,Lebensmitteltechnologie,1579
254,2020,NATD,GESM,SF107,Medizin (Allgemein-Medizin),31959
255,2019,NATD,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),1432
256,2021,NATD,GESM,SF140,Angewandte Systemwissenschaften,1726
257,2021,NATA,GESM,SF235,Fahrzeugtechnik,2532
258,2022,NATD,GESM,SF175,Volkswirtschaftslehre,10556
259,2019,NATD,GESW,SF227,Weinbau und Kellerwirtschaft,397
260,2019,NATD,GESW,SF071,Haushalts- und Ernährungswissenschaft,5995
261,2018,NATA,GESW,SF277,Wirtschaftsinformatik,2964
262,2021,NATD,GESW,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,11410
263,2021,NATA,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),0
264,2021,NATA,GESW,SF321,Erwachsenenbildung und außerschulische Jugendbild.,132
265,2023,NATA,GESM,SF089,Verkehrsingenieurwesen,962
266,2018,NATA,GESM,SF082,Holz-/Fasertechnik,42
267,2018,NATD,GESM,SF144,Technische Kybernetik,356
268,2018,NATD,GESW,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
269,2020,NATD,GESW,SF241,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),0
270,2021,NATD,GESW,SF277,Wirtschaftsinformatik,11007
271,2019,NATD,GESM,SF080,Instrumentalmusik,1145
272,2021,NATD,GESW,SF131,Portugiesisch,47
273,2018,NATA,GESW,SF039,Geowissenschaften allgemein,665
274,2022,NATD,GESW,SF121,Medieninformatik,5322
275,2022,NATA,GESW,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),38
276,2019,NATA,GESM,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",1011
277,2023,NATD,GESW,SF215,Gesundheitstechnik,4627
278,2023,NATD,GESM,SF365,Pädagogik der frühen Kindheit,420
279,2020,NATD,GESW,SF001,Ägyptologie,307
280,2020,NATA,GESM,SF380,Mechatronik,5830
281,2023,NATA,GESW,SF175,Volkswirtschaftslehre,2890
282,2020,NATD,GESM,SF190,Sonderpädagogik,2820
283,2020,NATD,GESM,SF200,Computer- und Kommunikationstechniken,3222
284,2023,NATD,GESM,SF125,Agrarökonomie,627
285,2020,NATD,GESW,SF147,Sozialkunde,1879
286,2019,NATA,GESM,SF270,Berufs- und Wirtschaftspädagogik,37
287,2022,NATA,GESW,SF043,Neugriechisch,49
288,2021,NATD,GESW,SF037,Archiv- und Dokumentationswissenschaft,259
289,2022,NATD,GESW,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
290,2020,NATA,GESW,SF088,Optoelektronik,36
291,2020,NATA,GESM,SF140,Angewandte Systemwissenschaften,606
292,2019,NATD,GESW,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),4012
293,2020,NATA,GESW,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
294,2020,NATA,GESM,SF141,Abfallwirtschaft,2
295,2022,NATA,GESM,SF101,Restaurierungskunde,11
296,2019,NATA,GESM,SF177,Werkstofftechnik,1048
297,2020,NATD,GESM,SF096,Lebensmittelchemie,663
298,2023,NATA,GESW,SF019-07,Friesisch (2007 aufgelöst),0
299,2020,NATD,GESM,SF106,Tanzpädagogik,25
300,2022,NATA,GESM,SF091,Kunsterziehung,107
301,2022,NATD,GESM,SF270,Berufs- und Wirtschaftspädagogik,729
