,acyear,nationality,gender,subj_code,subj_name,stud_count
143,2020,NATD,GESM,SF051,Erziehungsschwierigenpädagogik (ab 2016 zu SF190),0
144,2019,NATD,GESW,SF171,Vermessungswesen (Geodäsie),230
145,2021,NATD,GESM,SF284,Angewandte Sprachwissenschaft,52
146,2022,NATA,GESM,SF092,"Kunstgeschichte, Kunstwissenschaft",33
147,2023,NATA,GESM,SF181,Wirtschaftspädagogik,13
148,2018,NATD,GESW,SF180,Kaukasistik,0
149,2019,NATA,GESW,SF024,Europäische Ethnologie und Kulturwissenschaft,131
150,2020,NATA,GESW,SF080,Instrumentalmusik,309
151,2019,NATA,GESM,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
152,2023,NATD,GESM,SF029,Sportwissenschaft,1280
153,2022,NATD,GESW,SF123,Ingenieurinformatik/Technische Informatik,244
154,2021,NATD,GESW,SF231,Druck- und Reproduktionstechnik,72
155,2022,NATD,GESM,SF277,Wirtschaftsinformatik,6065
156,2023,NATA,GESM,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
157,2022,NATA,GESM,SF009,Anthropologie (Humanbiologie),13
158,2020,NATD,GESW,SF385,Geoökologie,131
159,2019,NATD,GESM,SF234,Pflegewissenschaft/-management,357
160,2018,NATD,GESM,SF146,Slawistik (Slawische Philologie),40
161,2021,NATD,GESM,SF189,Niederdeutsch,0
162,2020,NATD,GESW,SF145,Sinologie/Koreanistik,298
163,2023,NATD,GESM,SF123,Ingenieurinformatik/Technische Informatik,1290
164,2019,NATA,GESM,SF076,Hütten- und Gießereiwesen,37
165,2022,NATA,GESW,SF041,Sonstiges Orientierungsstudium,14
166,2021,NATA,GESW,SF075,Holzwirtschaft,3
167,2021,NATD,GESW,SF137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",195
168,2022,NATD,GESW,SF029,Sportwissenschaft,835
169,2023,NATD,GESW,SF115,Grundschul-/Primärstufenpädagogik,1235
170,2022,NATD,GESM,SF037,Archiv- und Dokumentationswissenschaft,21
171,2023,NATD,GESM,SF269,Zoll- und Steuerverwaltung,1102
172,2022,NATA,GESW,SF187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,68
173,2022,NATD,GESW,SF269,Zoll- und Steuerverwaltung,1255
174,2019,NATD,GESW,SF079,Informatik,2125
175,2023,NATA,GESW,SF275,Wissenschaftsgeschichte/Technikgeschichte,0
176,2018,NATA,GESM,SF084,Italienisch,20
177,2021,NATA,GESM,SF230,Gesang,34
178,2022,NATD,GESM,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,4453
179,2020,NATD,GESM,SF050,Geografie/Erdkunde,1267
180,2023,NATA,GESW,SF035,Darstellende Kunst/Bühnenkunst/Regie,82
181,2021,NATD,GESW,SF138,Agrarbiologie,55
182,2020,NATA,GESM,SF143,Augenoptik,8
183,2018,NATA,GESW,SF272,Alte Geschichte,5
184,2019,NATA,GESM,SF077,Wasserwirtschaft,92
185,2020,NATD,GESM,SF300,Biomedizin,70
186,2020,NATD,GESM,SF290,Sonstige Fächer,155
187,2022,NATD,GESM,SF276,Wirtschaftsmathematik,478
188,2018,NATD,GESW,SF085,Japanologie,263
189,2021,NATA,GESM,SF136,Religionswissenschaft,21
190,2018,NATA,GESW,SF178,Wirtschafts-/Sozialgeografie,2
191,2018,NATD,GESM,SF147,Sozialkunde,158
192,2019,NATA,GESW,SF025,Biochemie,209
