,year,subj_grp_code,subj_grp_name,gender,number
853,2021,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),m,22923
854,2021,KL-EINR-SOZ-01,Soziale Einrichtungen der Kliniken,f,7
855,2022,SB-SKW-05,Geschichte,f,1499
856,2019,THEOL-KT-01,Katholische Theologie,f,337
857,2023,SB-SKW-06,Informations- und Bibliothekswissenschaften,m,88
858,2020,SB-SKW-06,Informations- und Bibliothekswissenschaften,f,84
859,2022,SB-SKW-04,Philosophie,f,663
860,2018,SB-INGW-07,Raumplanung,m,327
861,2021,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,m,39
862,2021,MEDZN-KP-01,Zahnmedizin (klinisch-praktisch),f,1038
863,2021,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,f,820
864,2020,SF013,Architektur,f,1056
865,2021,SB-INGW-04,Elektro- und Informationstechnik,m,8064
866,2023,SB-NATW-08,Geowissenschaften (ohne Geographie),f,1068
867,2019,SB-NATW-04,"Physik, Astronomie",m,8882
868,2020,SB-SKW-07,Allg. und vergl. Literatur- und Sprachwissenschaft,f,965
869,2019,SB-SKW-19,Medienwissenschaft,f,0
870,2020,LB-RW-01,Rechtswissenschaften,m,3601
871,2023,SB-INGW-03,Maschinenbau/Verfahrenstechnik,m,13088
872,2023,MEDVET-VK-01,Vorklinische Veterinärmedizin,m,109
873,2020,SB-NATW-04,"Physik, Astronomie",f,2118
874,2023,SB-RWSW-09,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,m,634
875,2018,MEDZN-KP-01,Zahnmedizin (klinisch-praktisch),f,919
876,2018,SB-RWSW-03,Politikwissenschaft,m,981
877,2021,PHIL-KLASS-01,Altphilologie (klassische Philologie),f,178
878,2023,SB-AGRW-01,"Landespflege, Umweltgestaltung",f,233
879,2019,EINR-KLFRMD-02,Mit der Klinik verbundene u.klinikfremde Einricht.,m,15
880,2021,SB-NATW-07,Biologie,f,4685
881,2019,SB-NATW-09,Geographie,m,1100
882,2022,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",m,421
883,2021,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,m,350
884,2020,EINR-WISS-01,Zentrale wissenschaftliche Einrichtungen,f,3989
885,2020,THEOL-EV-01,Evangelische Theologie,f,478
886,2018,EINR-WISS-01,Zentrale wissenschaftliche Einrichtungen,f,3822
887,2022,SB-NATW-06,Pharmazie,f,770
888,2022,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",f,1244
889,2022,SB-INGW-04,Elektro- und Informationstechnik,m,7934
890,2021,THEOL-EV-01,Evangelische Theologie,f,472
891,2018,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),m,2111
892,2018,SB-MEDHUM-01,Gesundheitswissenschaften,m,678
893,2020,SB-SKW-04,Philosophie,f,635
894,2023,SB-INGW-07,Raumplanung,m,368
895,2020,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),m,2150
896,2018,MEDHUM-KT-01,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),m,5343
897,2019,MEDZN-KP-01,Zahnmedizin (klinisch-praktisch),f,955
898,2023,SB-RWSW-10,Psychologie,m,2205
899,2019,MEDVET-KP-01,Klinisch-praktische Veterinärmedizin,m,204
900,2021,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",m,377
901,2023,SB-SKW-11,Romanistik,m,418
902,2023,HS-01,Hochschule insgesamt,f,347
903,2021,SB-SKW-06,Informations- und Bibliothekswissenschaften,m,87
904,2019,SB-RWSW-02,Regionalwissenschaften,m,86
905,2020,SB-INGW-12,Informatik,m,9533
906,2020,SB-MEDHUM-01,Gesundheitswissenschaften,m,775
907,2020,SB-NATW-08,Geowissenschaften (ohne Geographie),f,1032
908,2020,SB-AGRW-01,"Landespflege, Umweltgestaltung",f,233
909,2022,PHIL-KLASS-01,Altphilologie (klassische Philologie),f,179
910,2018,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,f,97
911,2020,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,m,1712
