,year,nationality,gender,subj_code,subj_name,number
361,2021,domestic,m,142,Schiffbau/Schiffstechnik,80
362,2019,domestic,m,333,Haushaltswissenschaft,7
363,2021,foreign,m,233,Nichtärztliche Heilberufe/Therapien,53
364,2022,domestic,m,177,Werkstofftechnik,198
365,2018,foreign,f,275,Wissenschaftsgeschichte/Technikgeschichte,0
366,2022,foreign,m,004,Interdisz. Studien (Schwerpunkt Geisteswiss.),339
367,2021,foreign,f,225,Textil- und Bekleidungstechnik/-gewerbe,36
368,2020,domestic,m,303,Publizistik (ab 2008 zu SF303),0
369,2018,foreign,f,035,Darstellende Kunst/Bühnenkunst/Regie,95
370,2019,domestic,m,083,Islamwissenschaft,27
371,2018,domestic,f,089,Verkehrsingenieurwesen,124
372,2023,domestic,m,127,Philosophie,925
373,2021,domestic,m,234,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
374,2021,foreign,f,071,Haushalts- und Ernährungswissenschaft,87
375,2021,domestic,f,303,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
376,2018,foreign,f,037,Archiv- und Dokumentationswissenschaft,10
377,2022,domestic,f,025,Biochemie,699
378,2022,domestic,f,265,Bankwesen,36
379,2022,domestic,m,179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,2247
380,2023,foreign,m,185,Zahnmedizin,90
381,2023,foreign,f,271,Deutsch als Fremdsprache oder als Zweitsprache,276
382,2018,domestic,m,048,Elektrotechnik/Elektronik,6346
383,2018,foreign,m,080,Instrumentalmusik,374
384,2021,domestic,m,287,Neue Medien,98
385,2019,foreign,m,174,Volkskunde,7
386,2023,domestic,m,221,Bioinformatik,118
387,2021,domestic,f,039,Geowissenschaften allgemein,531
388,2023,foreign,f,031,Byzantinistik,1
389,2023,domestic,f,213,Versorgungstechnik,84
390,2020,domestic,f,003,Agrarwissenschaft/Landwirtschaft,975
391,2023,foreign,f,177,Werkstofftechnik,141
392,2020,foreign,m,284,Angewandte Sprachwissenschaft,46
393,2018,domestic,m,142,Schiffbau/Schiffstechnik,106
394,2022,domestic,m,272,Alte Geschichte,17
395,2020,domestic,f,149,Soziologie,1830
396,2019,foreign,f,261,Innere Verwaltung,20
397,2019,foreign,f,021,Betriebswirtschaftslehre,3460
398,2022,domestic,m,032,Chemie,2324
399,2022,foreign,f,232,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
400,2019,domestic,f,074,Transport-/Fördertechnik,2
401,2020,foreign,f,085,Japanologie,39
402,2022,foreign,m,245,Sozialpädagogik,11
403,2018,foreign,f,370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,733
404,2020,domestic,m,192,Dirigieren,2
405,2019,foreign,m,175,Volkswirtschaftslehre,485
406,2020,domestic,m,202,Fertigungs-/Produktionstechnik,267
407,2021,foreign,m,234,Pflegewissenschaft/-management,35
408,2022,domestic,m,178,Wirtschafts-/Sozialgeografie,1
409,2018,domestic,m,049,Interdisz. Studien (Schwerp. Naturwissenschaften),287
410,2019,domestic,m,082,Holz-/Fasertechnik,113
411,2018,domestic,f,183,Wirtschafts-/Sozialgeschichte,3
412,2018,foreign,f,276,Wirtschaftsmathematik,151
413,2019,foreign,f,167,Europäische Wirtschaft,71
414,2018,foreign,f,130,Westslawisch (allgemein und a.n.g.),5
415,2021,domestic,m,141,Abfallwirtschaft,9
416,2021,foreign,f,226,Verfahrenstechnik,178
417,2018,foreign,f,036,Sonstige Regionalwissenschaften,46
418,2022,foreign,m,005,Klassische Philologie,3
419,2020,domestic,m,098,Sportpädagogik/Sportpsychologie,811
420,2020,domestic,m,108,Metalltechnik,65
421,2023,foreign,m,042,Wirtschaftsrecht,97
422,2022,domestic,m,136,Religionswissenschaft,36
423,2023,domestic,m,128,Physik,3683
424,2022,foreign,f,084,Italienisch,70
425,2021,foreign,f,128,Physik,533
426,2019,foreign,f,128,Physik,426
427,2021,foreign,f,222,Kommunikations- und Informationstechnik,158
428,2021,domestic,f,032,Chemie,2002
429,2023,foreign,m,282,Biotechnologie,265
430,2022,foreign,m,050,Geografie/Erdkunde,104
431,2019,domestic,f,272,Alte Geschichte,17
