,year,subj_grp_code,subj_grp_name,gender,number
926,2018,SB-RWSW-07,Verwaltungswissenschaften,GESM,1219
927,2023,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),GESW,2424
928,2022,SB-RWSW-10,Psychologie,GESM,2200
929,2021,AFEW-ALLG-01,"Agrar-, Forst- und Ernährungswissenschaften allg.",GESW,103
930,2021,MEDVET-ALLG-01,Veterinärmedizin allgemein,GESW,7
931,2018,SB-SKW-17,Sonderpädagogik,GESM,0
932,2020,MEDHUM-ALLG-01,Humanmedizin allgemein,GESM,471
933,2019,AFEW-ALLG-01,"Agrar-, Forst- und Ernährungswissenschaften allg.",GESW,72
934,2022,SB-NATW-05,Chemie,GESW,3595
935,2022,SB-RWSW-11,Erziehungswissenschaften,GESM,2107
936,2023,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",GESW,350
937,2018,EINR-KLFRMD-02,Mit der Klinik verbundene u.klinikfremde Einricht.,GESM,15
938,2023,SB-INGW-04,Elektro- und Informationstechnik,GESM,7954
939,2022,SB-INGW-08,Bauingenieurwesen,GESM,3484
940,2021,SB-NATW-08,Geowissenschaften (ohne Geographie),GESW,1069
941,2019,SB-RWSW-05,Sozialwesen,GESM,967
942,2021,SB-RWSW-11,Erziehungswissenschaften,GESM,2132
943,2023,LB-RW-01,Rechtswissenschaften,GESM,3559
944,2020,SB-RWSW-10,Psychologie,GESM,2131
945,2019,BIB-ZENTRAL-01,Zentralbibliothek,GESM,209
946,2020,SB-SKW-17,Sonderpädagogik,GESM,0
947,2018,SB-RWSW-04,Sozialwissenschaften/Soziologie,GESM,1578
948,2019,SB-RWSW-03,Politikwissenschaft,GESM,1049
949,2021,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,GESM,1904
950,2021,SB-SKW-01,Geisteswissenschaften allgemein,GESM,391
951,2021,SB-NATW-06,Pharmazie,GESW,739
952,2019,PHIL-KLASS-01,Altphilologie (klassische Philologie),GESW,188
953,2023,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",GESW,1321
954,2021,EINR-VERS-01,Zentrale Betriebs- und Versorgungseinrichtungen,GESW,136
955,2020,SB-NATW-07,Biologie,GESW,4568
956,2022,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",GESW,261
957,2021,SB-NATW-04,"Physik, Astronomie",GESW,2221
958,2023,MEDVET-KP-01,Klinisch-praktische Veterinärmedizin,GESM,197
959,2023,SB-INGW-08,Bauingenieurwesen,GESM,3467
960,2023,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),GESW,26677
961,2020,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",GESW,389
962,2020,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",GESW,302
963,2018,HS-VERW-02,Zentral verwaltete Hörsäle und Lehrräume,GESW,0
964,2020,SB-AGRW-04,Ernährungs- und Haushaltswissenschaften,GESW,433
965,2018,SB-SKW-14,Kulturwissenschaften i.e.S.,GESM,247
966,2018,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",GESW,628
967,2020,MEDHUM-KT-01,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),GESM,6029
968,2023,SB-INGW-09,Vermessungswesen,GESM,509
969,2021,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",GESW,299
970,2020,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),GESM,23020
971,2018,SB-SKW-12,"Slawistik, Baltistik, Finno-Ugristik",GESM,167
972,2019,SF013,Architektur,GESW,1005
973,2018,BIB-ZENTRAL-01,Zentralbibliothek,GESM,207
974,2021,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",GESW,1339
975,2020,EINR-SONST-01,Übrige Ausbildungseinrichtungen,GESM,212
976,2020,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,GESM,343
977,2021,SB-NATW-02,Mathematik,GESW,1578
978,2023,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",GESM,437
979,2023,MEDVET-KT-01,Klinisch-theoretische Veterinärmedizin,GESM,228
980,2018,SB-SKW-10,"Anglistik, Amerikanistik",GESM,715
981,2018,SB-SKW-11,Romanistik,GESM,435
982,2022,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,GESW,830
983,2023,SF013,Architektur,GESM,1642
984,2020,MEDVET-ALLG-01,Veterinärmedizin allgemein,GESW,10
985,2022,SB-AGRW-01,"Landespflege, Umweltgestaltung",GESW,194
986,2019,HS-VERW-01,Zentrale Hochschulverwaltung,GESW,1955
987,2020,SB-NATW-05,Chemie,GESW,3544
988,2021,EINR-HSFRMD-02,Mit der Hochschule verb. u. hochschulfr. Einricht.,GESM,159
989,2019,HS-VERW-02,Zentral verwaltete Hörsäle und Lehrräume,GESW,0
990,2020,SB-RWSW-11,Erziehungswissenschaften,GESM,2115
991,2021,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",GESW,299
992,2020,SB-SKW-19,Medienwissenschaft,GESM,310
993,2019,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,GESW,758
994,2018,SB-RWSW-02,Regionalwissenschaften,GESM,72
995,2021,SB-AGRW-04,Ernährungs- und Haushaltswissenschaften,GESW,464
996,2019,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,3175
997,2023,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,1716
998,2019,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,7148
999,2020,FACHGR-SKW,Geisteswissenschaften,GESW,10797
1000,2021,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,7565
1001,2021,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,3547
1002,2023,,Insgesamt,GESM,161195
1003,2023,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,3663
1004,2023,FACHGR-INGW,Ingenieurwissenschaften,GESW,12947
1005,2018,FACHGR-INGW,Ingenieurwissenschaften,GESM,41395
1006,2018,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,31384
1007,2023,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,3274
1008,2020,FACHGR-INGW,Ingenieurwissenschaften,GESM,43421
1009,2022,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,3295
1010,2023,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,25274
1011,2019,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,3177
1012,2019,,Insgesamt,GESM,155848
1013,2018,FACHGR-SKW,Geisteswissenschaften,GESM,9746
