,year,nationality,gender,passed,subj_code,subj_name,number
129,2021,NATA,GESM,PRUEFBESTJ,SF235,Fahrzeugtechnik,447
130,2019,NATD,GESM,PRUEFBESTJ,SF458,Umweltschutz,154
131,2021,NATD,GESW,PRUEFBESTJ,SF055,Orientierungsstudium Gesellschaftswissenschaften,0
132,2019,NATD,GESM,PRUEFBESTJ,SF062,Gehörlosen-/Schwerhörigenpäd. (ab 2016 zu SF190),0
133,2019,NATD,GESW,PRUEFBESTJ,SF142,Schiffbau/Schiffstechnik,32
134,2021,NATA,GESW,PRUEFBESTN,SF007,Angewandte Kunst,0
135,2019,NATA,GESM,PRUEFBESTJ,SF074,Transport-/Fördertechnik,8
136,2022,NATD,GESM,PRUEFBESTN,SF028,Brauwesen/Getränketechnologie,8
137,2018,NATA,GESM,PRUEFBESTN,SF140,Angewandte Systemwissenschaften,0
138,2018,NATD,GESM,PRUEFBESTN,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",14
139,2022,NATA,GESW,PRUEFBESTJ,SF132,Psychologie,804
140,2022,NATD,GESW,PRUEFBESTJ,SF022,Informations-/Bibliothekswiss. (nicht f. Verw.-FH),487
141,2018,NATA,GESW,PRUEFBESTJ,SF067,Germanistik/Deutsch,589
142,2022,NATA,GESW,PRUEFBESTN,SF088,Optoelektronik,0
143,2022,NATD,GESM,PRUEFBESTJ,SF216,Glastechnik/Keramik,36
144,2022,NATA,GESM,PRUEFBESTJ,SF076,Hütten- und Gießereiwesen,47
145,2023,NATA,GESM,PRUEFBESTJ,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),4
146,2020,NATA,GESM,PRUEFBESTJ,SF002,Afrikanistik,8
147,2018,NATD,GESM,PRUEFBESTJ,SF007,Angewandte Kunst,238
148,2021,NATD,GESM,PRUEFBESTJ,SF129,Politikwissenschaft/Politologie,2225
149,2020,NATD,GESM,PRUEFBESTJ,SF012,Archäologie,129
150,2019,NATA,GESW,PRUEFBESTJ,SF038,Lateinamerika-Studien,15
151,2018,NATA,GESM,PRUEFBESTN,SF380,Mechatronik,84
152,2020,NATA,GESW,PRUEFBESTJ,SF074,Transport-/Fördertechnik,2
153,2023,NATD,GESM,PRUEFBESTJ,SF151,Sprachheilpädagogik/Logopädie (ab 2016 zu SF190),0
154,2019,NATD,GESW,PRUEFBESTJ,SF048,Elektrotechnik/Elektronik,910
155,2022,NATD,GESW,PRUEFBESTJ,SF262,Bibliothekswesen,29
156,2021,NATA,GESW,PRUEFBESTJ,SF041,Sonstiges Orientierungsstudium,0
157,2020,NATA,GESM,PRUEFBESTJ,SF148,Sozialwissenschaften,123
158,2020,NATD,GESM,PRUEFBESTJ,SF158,Turkologie,7
159,2021,NATD,GESW,PRUEFBESTJ,SF305,Medientechnik,670
160,2018,NATD,GESM,PRUEFBESTN,SF270,Berufs- und Wirtschaftspädagogik,1
161,2023,NATA,GESM,PRUEFBESTJ,SF043,Neugriechisch,1
162,2023,NATD,GESW,PRUEFBESTJ,SF353,Pflanzenproduktion,78
163,2018,NATD,GESW,PRUEFBESTJ,SF055,Orientierungsstudium Gesellschaftswissenschaften,0
164,2021,NATA,GESM,PRUEFBESTN,SF380,Mechatronik,44
165,2023,NATA,GESW,PRUEFBESTJ,SF245,Sozialpädagogik,72
166,2021,NATD,GESM,PRUEFBESTN,SF270,Berufs- und Wirtschaftspädagogik,0
167,2020,NATD,GESW,PRUEFBESTN,SF264,Sozialversicherung,0
168,2022,NATA,GESW,PRUEFBESTJ,SF038,Lateinamerika-Studien,20
169,2023,NATA,GESM,PRUEFBESTJ,SF044,Ost- und Südosteuropa-Studien,7
170,2018,NATA,GESM,PRUEFBESTN,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
171,2018,NATD,GESM,PRUEFBESTJ,SF090,Lernbereich Geisteswissenschaften,171
172,2018,NATA,GESW,PRUEFBESTN,SF102,Schauspiel,0
173,2020,NATA,GESM,PRUEFBESTN,SF195,Gesundheitspädagogik,0
174,2018,NATD,GESM,PRUEFBESTN,SF177,Werkstofftechnik,125
175,2023,NATD,GESW,PRUEFBESTJ,SF113,Musikerziehung,873
176,2018,NATD,GESW,PRUEFBESTN,SF258,Arbeitsverwaltung,6
177,2018,NATD,GESW,PRUEFBESTJ,SF545,"Kath. Religionspäd., kirchliche Bildungsarbeit",43
178,2018,NATA,GESM,PRUEFBESTJ,SF080,Instrumentalmusik,518
179,2020,NATD,GESM,PRUEFBESTN,SF183,Wirtschafts-/Sozialgeschichte,0
180,2021,NATD,GESM,PRUEFBESTN,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",6
181,2018,NATA,GESW,PRUEFBESTN,SF092,"Kunstgeschichte, Kunstwissenschaft",5
182,2019,NATD,GESM,PRUEFBESTN,SF122,"Orientalistik, Altorientalistik",5
183,2023,NATA,GESW,PRUEFBESTN,SF055,Orientierungsstudium Gesellschaftswissenschaften,0
184,2022,NATA,GESM,PRUEFBESTJ,SF077,Wasserwirtschaft,99
185,2023,NATA,GESW,PRUEFBESTJ,SF005,Klassische Philologie,3
186,2022,NATD,GESW,PRUEFBESTJ,SF168,Justizvollzug,40
187,2018,NATD,GESM,PRUEFBESTJ,SF006,Amerikanistik/Amerikakunde,110
188,2021,NATA,GESM,PRUEFBESTN,SF140,Angewandte Systemwissenschaften,0
189,2020,NATA,GESM,PRUEFBESTN,SF205,Bildhauerei/Plastik,0
190,2023,NATD,GESW,PRUEFBESTN,SF163,Rhythmik,0
191,2023,NATD,GESM,PRUEFBESTJ,SF058,"Forstwissenschaft, -wirtschaft",679
192,2018,NATD,GESM,PRUEFBESTN,SF031,Byzantinistik,0
193,2018,NATD,GESW,PRUEFBESTJ,SF305,Medientechnik,748
194,2020,NATD,GESM,PRUEFBESTJ,SF252,Journalistik (ab 2008 zu SF303),0
195,2018,NATA,GESW,PRUEFBESTJ,SF161,Diakoniewissenschaft,3
