,year,nationality,gender,subj_code,subj_name,number,subgroup
165,2022,NATA,GESW,SF041,Sonstiges Orientierungsstudium,16,stud_all
166,2021,NATA,GESW,SF075,Holzwirtschaft,18,stud_all
167,2021,NATD,GESW,SF137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",1565,stud_all
168,2022,NATD,GESW,SF029,Sportwissenschaft,7649,stud_all
169,2023,NATD,GESW,SF115,Grundschul-/Primärstufenpädagogik,8908,stud_all
170,2022,NATD,GESM,SF037,Archiv- und Dokumentationswissenschaft,141,stud_all
171,2023,NATD,GESM,SF269,Zoll- und Steuerverwaltung,2943,stud_all
172,2022,NATA,GESW,SF187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,458,stud_all
173,2022,NATD,GESW,SF269,Zoll- und Steuerverwaltung,3990,stud_all
174,2019,NATD,GESW,SF079,Informatik,17766,stud_all
175,2023,NATA,GESW,SF275,Wissenschaftsgeschichte/Technikgeschichte,1,stud_all
176,2018,NATA,GESM,SF084,Italienisch,87,stud_all
177,2021,NATA,GESM,SF230,Gesang,280,stud_all
178,2022,NATD,GESM,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,39537,stud_all
179,2020,NATD,GESM,SF050,Geografie/Erdkunde,10164,stud_all
180,2023,NATA,GESW,SF035,Darstellende Kunst/Bühnenkunst/Regie,338,stud_all
181,2021,NATD,GESW,SF138,Agrarbiologie,375,stud_all
182,2020,NATA,GESM,SF143,Augenoptik,25,stud_all
183,2018,NATA,GESW,SF272,Alte Geschichte,21,stud_all
184,2019,NATA,GESM,SF077,Wasserwirtschaft,295,stud_all
185,2020,NATD,GESM,SF300,Biomedizin,615,stud_all
186,2020,NATD,GESM,SF290,Sonstige Fächer,1056,stud_all
187,2022,NATD,GESM,SF276,Wirtschaftsmathematik,3034,stud_all
188,2018,NATD,GESW,SF085,Japanologie,1742,stud_all
189,2021,NATA,GESM,SF136,Religionswissenschaft,145,stud_all
190,2018,NATA,GESW,SF178,Wirtschafts-/Sozialgeografie,16,stud_all
191,2018,NATD,GESM,SF147,Sozialkunde,1702,stud_all
192,2019,NATA,GESW,SF025,Biochemie,957,stud_all
193,2021,NATD,GESM,SF043,Neugriechisch,12,stud_all
194,2019,NATA,GESW,SF265,Bankwesen,4,stud_all
195,2019,NATD,GESW,SF172,Verwaltungswissenschaft/-wesen,9503,stud_all
196,2020,NATA,GESW,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),0,stud_all
197,2018,NATA,GESW,SF032,Chemie,3338,stud_all
198,2023,NATA,GESM,SF180,Kaukasistik,0,stud_all
199,2022,NATD,GESM,SF130,Westslawisch (allgemein und a.n.g.),12,stud_all
200,2020,NATA,GESW,SF081,Iranistik,41,stud_all
201,2020,NATD,GESM,SF196,Studienkolleg,0,stud_all
202,2020,NATA,GESM,SF049,Interdisz. Studien (Schwerp. Naturwissenschaften),1123,stud_all
203,2022,NATA,GESM,SF103,Markscheidewesen,7,stud_all
204,2020,NATD,GESM,SF206,Polnisch,21,stud_all
205,2021,NATD,GESM,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),477,stud_all
206,2022,NATA,GESM,SF093,Landespflege/Landschaftsgestaltung,110,stud_all
207,2021,NATA,GESW,SF070,Griechisch,44,stud_all
208,2018,NATA,GESW,SF038,Lateinamerika-Studien,100,stud_all
209,2018,NATD,GESM,SF143,Augenoptik,220,stud_all
210,2022,NATD,GESW,SF122,"Orientalistik, Altorientalistik",530,stud_all
211,2018,NATD,GESW,SF088,Optoelektronik,124,stud_all
212,2021,NATD,GESM,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0,stud_all
213,2023,NATA,GESW,SF174,Volkskunde,103,stud_all
214,2023,NATA,GESM,SF184,Wirtschaftswissenschaften,6719,stud_all
215,2021,NATD,GESW,SF130,Westslawisch (allgemein und a.n.g.),14,stud_all
216,2021,NATA,GESW,SF320,Ernährungswissenschaft,704,stud_all
217,2021,NATD,GESW,SF276,Wirtschaftsmathematik,2015,stud_all
218,2018,NATA,GESM,SF333,Haushaltswissenschaft,1,stud_all
219,2022,NATD,GESW,SF028,Brauwesen/Getränketechnologie,110,stud_all
220,2022,NATA,GESW,SF284,Angewandte Sprachwissenschaft,764,stud_all
221,2023,NATD,GESM,SF124,Ozeanografie,3,stud_all
222,2019,NATA,GESM,SF271,Deutsch als Fremdsprache oder als Zweitsprache,423,stud_all
223,2023,NATD,GESW,SF060,Gartenbau,797,stud_all
224,2022,NATD,GESW,SF268,Verkehrswesen,0,stud_all
225,2021,NATD,GESW,SF036,Sonstige Regionalwissenschaften,249,stud_all
226,2023,NATD,GESW,SF310,Regenerative Energien,642,stud_all
227,2018,NATA,GESM,SF083,Islamwissenschaft,181,stud_all
228,2020,NATD,GESW,SF146,Slawistik (Slawische Philologie),650,stud_all
229,2022,NATA,GESW,SF044,Ost- und Südosteuropa-Studien,89,stud_all
230,2019,NATA,GESM,SF178,Wirtschafts-/Sozialgeografie,13,stud_all
231,2022,NATA,GESM,SF090,Lernbereich Geisteswissenschaften,60,stud_all
232,2021,NATD,GESM,SF380,Mechatronik,11190,stud_all
233,2020,NATA,GESW,SF086,"Katholische Theologie, - Religionslehre",165,stud_all
234,2020,NATA,GESM,SF142,Schiffbau/Schiffstechnik,212,stud_all
235,2019,NATA,GESM,SF032,Chemie,3347,stud_all
236,2020,NATD,GESM,SF191,Komposition,129,stud_all
237,2020,NATD,GESM,SF201,Werken (technisch)/Technologie,144,stud_all
238,2019,NATD,GESW,SF321,Erwachsenenbildung und außerschulische Jugendbild.,2024,stud_all
239,2019,NATA,GESW,SF262,Bibliothekswesen,0,stud_all
240,2018,NATA,GESW,SF371,Tierproduktion,18,stud_all
241,2019,NATA,GESW,SF168,Justizvollzug,0,stud_all
242,2020,NATA,GESM,SF048,Elektrotechnik/Elektronik,17398,stud_all
243,2018,NATA,GESW,SF131,Portugiesisch,28,stud_all
244,2022,NATA,GESM,SF006,Amerikanistik/Amerikakunde,423,stud_all
245,2021,NATD,GESM,SF286,Mikrosystemtechnik,980,stud_all
246,2020,NATA,GESW,SF180,Kaukasistik,2,stud_all
247,2021,NATA,GESW,SF227,Weinbau und Kellerwirtschaft,115,stud_all
248,2023,NATA,GESM,SF183,Wirtschafts-/Sozialgeschichte,17,stud_all
249,2022,NATD,GESW,SF361,Schulpädagogik,305,stud_all
250,2018,NATD,GESW,SF182,Internationale Betriebswirtschaft/Management,22544,stud_all
251,2019,NATD,GESM,SF081,Iranistik,87,stud_all
252,2019,NATA,GESW,SF022,Informations-/Bibliothekswiss. (nicht f. Verw.-FH),165,stud_all
253,2020,NATD,GESM,SF097,Lebensmitteltechnologie,1579,stud_all
254,2020,NATD,GESM,SF107,Medizin (Allgemein-Medizin),31959,stud_all
255,2019,NATD,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),1432,stud_all
256,2021,NATD,GESM,SF140,Angewandte Systemwissenschaften,1726,stud_all
257,2021,NATA,GESM,SF235,Fahrzeugtechnik,2532,stud_all
258,2022,NATD,GESM,SF175,Volkswirtschaftslehre,10556,stud_all
259,2019,NATD,GESW,SF227,Weinbau und Kellerwirtschaft,397,stud_all
260,2019,NATD,GESW,SF071,Haushalts- und Ernährungswissenschaft,5995,stud_all
261,2018,NATA,GESW,SF277,Wirtschaftsinformatik,2964,stud_all
262,2021,NATD,GESW,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,11410,stud_all
263,2021,NATA,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),0,stud_all
264,2021,NATA,GESW,SF321,Erwachsenenbildung und außerschulische Jugendbild.,132,stud_all
265,2023,NATA,GESM,SF089,Verkehrsingenieurwesen,962,stud_all
266,2018,NATA,GESM,SF082,Holz-/Fasertechnik,42,stud_all
267,2018,NATD,GESM,SF144,Technische Kybernetik,356,stud_all
268,2018,NATD,GESW,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0,stud_all
269,2020,NATD,GESW,SF241,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),0,stud_all
270,2021,NATD,GESW,SF277,Wirtschaftsinformatik,11007,stud_all
271,2019,NATD,GESM,SF080,Instrumentalmusik,1145,stud_all
272,2021,NATD,GESW,SF131,Portugiesisch,47,stud_all
273,2018,NATA,GESW,SF039,Geowissenschaften allgemein,665,stud_all
274,2022,NATD,GESW,SF121,Medieninformatik,5322,stud_all
275,2022,NATA,GESW,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),38,stud_all
276,2019,NATA,GESM,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",1011,stud_all
277,2023,NATD,GESW,SF215,Gesundheitstechnik,4627,stud_all
278,2023,NATD,GESM,SF365,Pädagogik der frühen Kindheit,420,stud_all
279,2020,NATD,GESW,SF001,Ägyptologie,307,stud_all
280,2020,NATA,GESM,SF380,Mechatronik,5830,stud_all
281,2023,NATA,GESW,SF175,Volkswirtschaftslehre,2890,stud_all
282,2020,NATD,GESM,SF190,Sonderpädagogik,2820,stud_all
283,2020,NATD,GESM,SF200,Computer- und Kommunikationstechniken,3222,stud_all
284,2023,NATD,GESM,SF125,Agrarökonomie,627,stud_all
285,2020,NATD,GESW,SF147,Sozialkunde,1879,stud_all
286,2019,NATA,GESM,SF270,Berufs- und Wirtschaftspädagogik,37,stud_all
287,2022,NATA,GESW,SF043,Neugriechisch,49,stud_all
288,2021,NATD,GESW,SF037,Archiv- und Dokumentationswissenschaft,259,stud_all
289,2022,NATD,GESW,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0,stud_all
290,2020,NATA,GESW,SF088,Optoelektronik,36,stud_all
291,2020,NATA,GESM,SF140,Angewandte Systemwissenschaften,606,stud_all
292,2019,NATD,GESW,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),4012,stud_all
293,2020,NATA,GESW,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0,stud_all
294,2020,NATA,GESM,SF141,Abfallwirtschaft,2,stud_all
295,2022,NATA,GESM,SF101,Restaurierungskunde,11,stud_all
296,2019,NATA,GESM,SF177,Werkstofftechnik,1048,stud_all
297,2020,NATD,GESM,SF096,Lebensmittelchemie,663,stud_all
298,2023,NATA,GESW,SF019-07,Friesisch (2007 aufgelöst),0,stud_all
299,2020,NATD,GESM,SF106,Tanzpädagogik,25,stud_all
300,2022,NATA,GESM,SF091,Kunsterziehung,107,stud_all
301,2022,NATD,GESM,SF270,Berufs- und Wirtschaftspädagogik,729,stud_all
302,2020,NATA,GESM,SF287,Neue Medien,234,stud_all
303,2019,NATA,GESW,SF263,Polizei/Verfassungsschutz,69,stud_all
304,2019,NATA,GESM,SF031,Byzantinistik,12,stud_all
305,2023,NATD,GESW,SF216,Glastechnik/Keramik,31,stud_all
306,2020,NATA,GESW,SF181,Wirtschaftspädagogik,265,stud_all
307,2021,NATA,GESM,SF080,Instrumentalmusik,1998,stud_all
308,2023,NATA,GESM,SF182,Internationale Betriebswirtschaft/Management,7701,stud_all
309,2018,NATA,GESW,SF132,Psychologie,4643,stud_all
310,2022,NATA,GESM,SF247,Medizinische Informatik,561,stud_all
311,2020,NATA,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0,stud_all
312,2022,NATA,GESM,SF007,Angewandte Kunst,164,stud_all
313,2022,NATD,GESM,SF176,Werkerziehung,40,stud_all
314,2018,NATD,GESW,SF181,Wirtschaftspädagogik,4270,stud_all
315,2019,NATA,GESW,SF023,Bildende Kunst/Grafik,778,stud_all
316,2021,NATD,GESW,SF371,Tierproduktion,222,stud_all
317,2019,NATA,GESW,SF169,Ethik,73,stud_all
318,2022,NATD,GESM,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",6586,stud_all
319,2018,NATD,GESM,SF287,Neue Medien,944,stud_all
320,2021,NATD,GESM,SF048,Elektrotechnik/Elektronik,37364,stud_all
321,2021,NATA,GESW,SF224,Physikal. Technik/Mechanische Verfahrenstechnik,152,stud_all
322,2022,NATD,GESW,SF266,Finanzverwaltung,1251,stud_all
323,2021,NATD,GESW,SF132,Psychologie,72672,stud_all
324,2023,NATA,GESM,SF186,Lernbereich Naturwissenschaft/Sachunterricht,22,stud_all
325,2023,NATA,GESW,SF270,Berufs- und Wirtschaftspädagogik,106,stud_all
326,2018,NATA,GESM,SF081,Iranistik,32,stud_all
